iter	MultiClass
0	1.096971166
1	1.095284472
2	1.093803832
3	1.092571654
4	1.091202444
5	1.08992703
6	1.088526126
7	1.087359957
8	1.085931874
9	1.084720138
10	1.08367248
11	1.082889969
12	1.081904859
13	1.08085887
14	1.079551818
15	1.078602742
16	1.077562592
17	1.076667472
18	1.075707932
19	1.074818164
20	1.073599786
21	1.072753317
22	1.071885273
23	1.071005333
24	1.070378673
25	1.069700349
26	1.068514369
27	1.06786758
28	1.067262035
29	1.06662189
30	1.065892541
31	1.064949361
32	1.064317465
33	1.063829819
34	1.063207178
35	1.062335192
36	1.06171224
37	1.060736212
38	1.0602263
39	1.059377954
40	1.058713374
41	1.058137638
42	1.057719534
43	1.057227553
44	1.056458342
45	1.055817242
46	1.055262461
47	1.054724081
48	1.054115722
49	1.053630532
50	1.053252008
51	1.052673377
52	1.052171827
53	1.051683748
54	1.051173832
55	1.050868163
56	1.050228238
57	1.049835794
58	1.048961765
59	1.048569999
60	1.047941239
61	1.04751437
62	1.047162807
63	1.046484189
64	1.046039153
65	1.045546494
66	1.045080145
67	1.04477024
68	1.044210363
69	1.044023417
70	1.043575897
71	1.042935977
72	1.042526115
73	1.042055948
74	1.041627364
75	1.041069746
76	1.040756686
77	1.040518703
78	1.03996426
79	1.039540934
80	1.038771711
81	1.038207722
82	1.037713297
83	1.037221985
84	1.036614548
85	1.036038422
86	1.035703103
87	1.035270646
88	1.034680704
89	1.034235232
90	1.033804087
91	1.033366606
92	1.032961323
93	1.03264065
94	1.03228315
95	1.032018223
96	1.031714241
97	1.030899989
98	1.030410601
99	1.02990388
100	1.029239732
101	1.028929253
102	1.028561743
103	1.027805776
104	1.027554025
105	1.027109509
106	1.026539553
107	1.02631554
108	1.025514084
109	1.024815416
110	1.024458344
111	1.023873018
112	1.023499567
113	1.02293206
114	1.022246605
115	1.021316388
116	1.020945522
117	1.020521626
118	1.020224618
119	1.019834306
120	1.019352473
121	1.018751515
122	1.018467838
123	1.018300391
124	1.018126385
125	1.017622748
126	1.017257535
127	1.016846489
128	1.01654724
129	1.016226662
130	1.01582945
131	1.015549584
132	1.015129949
133	1.014863098
134	1.014468398
135	1.014173915
136	1.013817853
137	1.013296183
138	1.012803082
139	1.012507465
140	1.012188069
141	1.011838929
142	1.011522595
143	1.011002147
144	1.010685812
145	1.010339863
146	1.009848438
147	1.009610686
148	1.009241502
149	1.009094186
150	1.008797055
151	1.008370775
152	1.007980433
153	1.00736876
154	1.007091182
155	1.006854485
156	1.006297085
157	1.006034595
158	1.005677503
159	1.005287086
160	1.004846317
161	1.004235377
162	1.003941132
163	1.0033904
164	1.003153577
165	1.002734277
166	1.002258852
167	1.001890152
168	1.001373461
169	1.000937909
170	1.000380154
171	0.9999167748
