iter	Passed	Remaining
0	5	11644
1	10	10139
2	14	9517
3	16	8468
4	20	8241
5	26	8904
6	31	8929
7	35	8867
8	41	9229
9	45	9045
10	49	8991
11	55	9244
12	62	9614
13	67	9633
14	71	9414
15	76	9455
16	80	9428
17	85	9361
18	88	9274
19	92	9152
20	97	9157
21	103	9278
22	112	9667
23	118	9722
24	122	9675
25	129	9823
26	135	9876
27	142	10037
28	147	9993
29	151	9940
30	157	9993
31	160	9900
32	165	9863
33	169	9810
34	177	9971
35	181	9915
36	185	9831
37	189	9772
38	192	9694
39	200	9841
40	205	9826
41	211	9876
42	215	9823
43	219	9752
44	224	9754
45	229	9728
46	233	9683
47	241	9834
48	248	9900
49	252	9862
50	257	9838
51	263	9875
52	267	9827
53	289	10420
54	294	10424
55	298	10366
56	303	10332
57	306	10275
58	311	10235
59	315	10208
60	323	10298
61	332	10385
62	337	10364
63	341	10344
64	349	10409
65	355	10416
66	360	10407
67	364	10355
68	368	10312
69	375	10366
70	379	10321
71	385	10311
72	394	10405
73	398	10374
74	404	10380
75	410	10383
76	414	10348
77	423	10440
78	430	10469
79	434	10432
80	443	10506
81	456	10680
82	463	10697
83	478	10907
84	493	11123
85	507	11284
86	521	11469
87	527	11453
88	544	11696
89	553	11747
90	558	11716
91	564	11707
92	569	11687
93	575	11675
94	588	11804
95	606	12020
96	618	12127
97	631	12261
98	638	12258
99	643	12220
100	648	12190
101	653	12156
102	657	12114
103	670	12229
104	675	12182
105	684	12229
106	689	12190
107	694	12164
108	700	12148
109	708	12170
110	712	12126
111	721	12166
112	732	12227
113	737	12202
114	742	12174
115	747	12139
116	756	12173
117	776	12377
118	787	12441
119	791	12405
120	804	12486
121	809	12455
122	826	12610
123	839	12695
124	865	12977
125	886	13186
126	890	13136
127	900	13164
128	916	13287
129	920	13234
130	932	13301
131	937	13261
132	947	13296
133	961	13382
134	977	13498
135	996	13653
136	1001	13622
137	1031	13912
138	1048	14036
139	1053	13998
140	1058	13961
141	1072	14030
142	1078	14005
143	1083	13971
144	1092	13982
145	1098	13951
146	1123	14158
147	1128	14115
148	1142	14188
149	1145	14131
150	1157	14175
151	1163	14141
152	1167	14089
153	1178	14130
154	1183	14086
155	1195	14135
156	1201	14108
157	1206	14064
158	1210	14020
159	1224	14082
160	1229	14038
161	1233	13996
162	1238	13954
163	1242	13911
164	1257	13986
165	1271	14043
166	1274	13993
167	1285	14015
168	1304	14132
169	1309	14091
170	1324	14170
171	1334	14177
